Designator,Device,Footprint,Mid X,Mid Y,Ref X,Ref Y,Pad X,Pad Y,Layer,Rotation,SMD,Comment
"PI1"	,"RASPBERRYPI-PICO"	,"RASPBERRYPIPICO"	,"33.147mm"	,"-24.892mm"	,"57.277mm"	,"-33.782mm"	,"47.117mm"	,"-16.002mm"	,"B"	,"180"	,"No"	,"RASPBERRYPI-PICO"	,
"C1"	,"CAP_0603"	,"C0603"	,"52.832mm"	,"-7.239mm"	,"52.832mm"	,"-7.239mm"	,"53.532mm"	,"-7.239mm"	,"T"	,"180"	,"Yes"	,"100nF"	,
"H1"	,"HDR-M_2.54_2x5"	,"HDR-TH_10P-P2.54-V-M-R2-C5-S2.54"	,"87.757mm"	,"-4mm"	,"87.757mm"	,"-4mm"	,"82.677mm"	,"-2.73mm"	,"B"	,"0"	,"No"	,"HDR-M_2.54_2x5"	,
"R1"	,"Res_0603"	,"R0603"	,"27.305mm"	,"-11.811mm"	,"27.305mm"	,"-11.811mm"	,"26.552mm"	,"-11.811mm"	,"T"	,"0"	,"Yes"	,"10K"	,
"R2"	,"Res_0603"	,"R0603"	,"23.876mm"	,"-11.811mm"	,"23.876mm"	,"-11.811mm"	,"23.123mm"	,"-11.811mm"	,"T"	,"0"	,"Yes"	,"10K"	,
"R3"	,"Res_0603"	,"R0603"	,"20.447mm"	,"-11.811mm"	,"20.447mm"	,"-11.811mm"	,"19.694mm"	,"-11.811mm"	,"T"	,"0"	,"Yes"	,"10K"	,
"R4"	,"Res_0603"	,"R0603"	,"17.018mm"	,"-11.811mm"	,"17.018mm"	,"-11.811mm"	,"16.265mm"	,"-11.811mm"	,"T"	,"0"	,"Yes"	,"10K"	,
"R6"	,"Res_0603"	,"R0603"	,"13.462mm"	,"-11.811mm"	,"13.462mm"	,"-11.811mm"	,"12.709mm"	,"-11.811mm"	,"T"	,"0"	,"Yes"	,"10K"	,
"R7"	,"Res_0603"	,"R0603"	,"9.906mm"	,"-11.811mm"	,"9.906mm"	,"-11.811mm"	,"9.153mm"	,"-11.811mm"	,"T"	,"0"	,"Yes"	,"10K"	,
"C2"	,"CAP_0603"	,"C0603"	,"25.908mm"	,"-6.985mm"	,"25.908mm"	,"-6.985mm"	,"25.208mm"	,"-6.985mm"	,"T"	,"0"	,"Yes"	,"1nF"	,
"C3"	,"CAP_0603"	,"C0603"	,"29.845mm"	,"-6.985mm"	,"29.845mm"	,"-6.985mm"	,"29.145mm"	,"-6.985mm"	,"T"	,"0"	,"Yes"	,"1nF"	,
"C4"	,"CAP_0603"	,"C0603"	,"33.782mm"	,"-6.985mm"	,"33.782mm"	,"-6.985mm"	,"33.082mm"	,"-6.985mm"	,"T"	,"0"	,"Yes"	,"1nF"	,
"C5"	,"CAP_0603"	,"C0603"	,"37.719mm"	,"-6.985mm"	,"37.719mm"	,"-6.985mm"	,"37.019mm"	,"-6.985mm"	,"T"	,"0"	,"Yes"	,"1nF"	,
"C6"	,"CAP_0603"	,"C0603"	,"41.783mm"	,"-6.985mm"	,"41.783mm"	,"-6.985mm"	,"41.083mm"	,"-6.985mm"	,"T"	,"0"	,"Yes"	,"1nF"	,
"C7"	,"CAP_0603"	,"C0603"	,"45.72mm"	,"-6.985mm"	,"45.72mm"	,"-6.985mm"	,"45.02mm"	,"-6.985mm"	,"T"	,"0"	,"Yes"	,"1nF"	,
"U1"	,"TLV2462CDR"	,"SOP-8_L4.9-W3.9-P1.27-LS6.0-BL"	,"17.215mm"	,"-25.161mm"	,"17.215mm"	,"-25.161mm"	,"15.31mm"	,"-27.843mm"	,"T"	,"0"	,"Yes"	,"TLV2462CDR"	,
"C8"	,"CAP_0603"	,"C0603"	,"22.098mm"	,"-25.146mm"	,"22.098mm"	,"-25.146mm"	,"22.098mm"	,"-25.846mm"	,"T"	,"90"	,"Yes"	,"100nF"	,
"R8"	,"Res_0603"	,"R0603"	,"14.224mm"	,"-29.972mm"	,"14.224mm"	,"-29.972mm"	,"13.471mm"	,"-29.972mm"	,"T"	,"0"	,"Yes"	,"22k"	,
"R11"	,"Res_0603"	,"R0603"	,"13.462mm"	,"-25.146mm"	,"13.462mm"	,"-25.146mm"	,"13.462mm"	,"-25.899mm"	,"T"	,"90"	,"Yes"	,"47k"	,
"R13"	,"Res_0603"	,"R0603"	,"22.86mm"	,"-28.956mm"	,"22.86mm"	,"-28.956mm"	,"22.107mm"	,"-28.956mm"	,"T"	,"0"	,"Yes"	,"22k"	,
"R14"	,"Res_0603"	,"R0603"	,"17.145mm"	,"-20.066mm"	,"17.145mm"	,"-20.066mm"	,"17.898mm"	,"-20.066mm"	,"T"	,"180"	,"Yes"	,"47k"	,
"U2"	,"TLV2462CDR"	,"SOP-8_L4.9-W3.9-P1.27-LS6.0-BL"	,"31.947mm"	,"-25.036mm"	,"31.947mm"	,"-25.036mm"	,"30.042mm"	,"-27.718mm"	,"T"	,"0"	,"Yes"	,"TLV2462CDR"	,
"C9"	,"CAP_0603"	,"C0603"	,"36.83mm"	,"-25.019mm"	,"36.83mm"	,"-25.019mm"	,"36.83mm"	,"-25.719mm"	,"T"	,"90"	,"Yes"	,"100nF"	,
"R5"	,"Res_0603"	,"R0603"	,"28.829mm"	,"-29.845mm"	,"28.829mm"	,"-29.845mm"	,"28.076mm"	,"-29.845mm"	,"T"	,"0"	,"Yes"	,"22k"	,
"R9"	,"Res_0603"	,"R0603"	,"28.194mm"	,"-25.019mm"	,"28.194mm"	,"-25.019mm"	,"28.194mm"	,"-25.772mm"	,"T"	,"90"	,"Yes"	,"47k"	,
"R10"	,"Res_0603"	,"R0603"	,"37.719mm"	,"-29.083mm"	,"37.719mm"	,"-29.083mm"	,"36.966mm"	,"-29.083mm"	,"T"	,"0"	,"Yes"	,"22k"	,
"R12"	,"Res_0603"	,"R0603"	,"32.004mm"	,"-19.939mm"	,"32.004mm"	,"-19.939mm"	,"32.757mm"	,"-19.939mm"	,"T"	,"180"	,"Yes"	,"47k"	,
"U3"	,"TLV2462CDR"	,"SOP-8_L4.9-W3.9-P1.27-LS6.0-BL"	,"47.06mm"	,"-25.002mm"	,"47.06mm"	,"-25.002mm"	,"45.155mm"	,"-27.684mm"	,"T"	,"0"	,"Yes"	,"TLV2462CDR"	,
"C10"	,"CAP_0603"	,"C0603"	,"51.943mm"	,"-24.892mm"	,"51.943mm"	,"-24.892mm"	,"51.943mm"	,"-25.592mm"	,"T"	,"90"	,"Yes"	,"100nF"	,
"R15"	,"Res_0603"	,"R0603"	,"43.688mm"	,"-29.845mm"	,"43.688mm"	,"-29.845mm"	,"42.935mm"	,"-29.845mm"	,"T"	,"0"	,"Yes"	,"22k"	,
"R16"	,"Res_0603"	,"R0603"	,"43.307mm"	,"-25.019mm"	,"43.307mm"	,"-25.019mm"	,"43.307mm"	,"-25.772mm"	,"T"	,"90"	,"Yes"	,"47k"	,
"R17"	,"Res_0603"	,"R0603"	,"52.832mm"	,"-29.083mm"	,"52.832mm"	,"-29.083mm"	,"52.079mm"	,"-29.083mm"	,"T"	,"0"	,"Yes"	,"22k"	,
"R18"	,"Res_0603"	,"R0603"	,"47.371mm"	,"-19.812mm"	,"47.371mm"	,"-19.812mm"	,"48.124mm"	,"-19.812mm"	,"T"	,"180"	,"Yes"	,"47k"	,
"H2"	,"HDR-F_2.54_1x4P"	,"HDR-TH_4P-P2.54-V-F"	,"34.417mm"	,"-43.053mm"	,"34.417mm"	,"-43.053mm"	,"30.607mm"	,"-43.053mm"	,"T"	,"0"	,"No"	,"HDR-F_2.54_1x4P"	,
"R19"	,"Res_0603"	,"R0603"	,"95.508mm"	,"-42.516mm"	,"95.508mm"	,"-42.516mm"	,"95.508mm"	,"-41.763mm"	,"T"	,"-90"	,"Yes"	,"1k"	,
"R20"	,"Res_0603"	,"R0603"	,"94.107mm"	,"-46.482mm"	,"94.107mm"	,"-46.482mm"	,"94.86mm"	,"-46.482mm"	,"T"	,"180"	,"Yes"	,"10K"	,
"R21"	,"Res_0603"	,"R0603"	,"95.444mm"	,"-18.45mm"	,"95.444mm"	,"-18.45mm"	,"95.444mm"	,"-17.697mm"	,"T"	,"-90"	,"Yes"	,"1k"	,
"R22"	,"Res_0603"	,"R0603"	,"95.412mm"	,"-22.158mm"	,"95.412mm"	,"-22.158mm"	,"95.412mm"	,"-21.405mm"	,"T"	,"-90"	,"Yes"	,"10K"	,
"H3"	,"HDR-M_2.54_1x4P"	,"HDR-TH_4P-P2.54-V-M"	,"50.419mm"	,"-42.291mm"	,"50.419mm"	,"-42.291mm"	,"46.609mm"	,"-42.291mm"	,"B"	,"0"	,"No"	,"HDR-M_2.54_1x4P"	,
"R23"	,"Res_0603"	,"R0603"	,"71.374mm"	,"-31.242mm"	,"71.374mm"	,"-31.242mm"	,"70.621mm"	,"-31.242mm"	,"T"	,"0"	,"Yes"	,"47k"	,
"R24"	,"Res_0603"	,"R0603"	,"71.374mm"	,"-11.176mm"	,"71.374mm"	,"-11.176mm"	,"70.621mm"	,"-11.176mm"	,"T"	,"0"	,"Yes"	,"47k"	,
